;A.6.3       304 UNICODE 3.2

Plane 00

02         20
03         4F 63-6F D8-D9 F6
04         8A-8B C5-C6 C9-CA CD-CE
05         00-0F
06         6E-6F
07         B1
10         F7-F8
17         00-0C 0E-14 20-36 40-53 60-6C 6E-70 72-73
20         47 4E-52 57 5F-63 71 B0-B1 E4-EA
21         3D-4B F4-FF
22         F2-FF
23         7C 9B-CE
24         EB-FE
25         96-9F F8-FF
26         16-17 72-7D 80-89
27         68-75 D0-EB
30         3B-3D 95-96 9F-A0 FF
32         51-5F B1-BF
A4         A2-A3 B4 C1 C5
FA         30-6A
FE         45-46 73
FF         5F-60
